abstract,author,n_cited,n_reference,paper,title,year
"The opposite transverse shifts for the right and left circular polarization components of a 100 fs 820 nm linearly polarized pulse focused onto GaAs are observed in situ via absorption. A time-delayed normally incident probe pulse scanned across the excitation spot detects the differential circular dichroism associated with the pump-induced transfer of spin angular momentum from light to electrons. More generally, we show that for a normormally incident probe, one can observe the spin Hall effect for probe light through a variety of pump-induced changes to a material's optical properties. (C) 2009 Optical Society of America","Menard, JM; Mattacchione, AE; Betz, M; van Driel, HM",31,17,OPTICS LETTERS,Imaging the spin Hall effect of light inside semiconductors via absorption,2009
"A novel biosensor based on a triangular resonator with a long evanescent field on a total internal reflection (TIR) mirror is proposed, and its sensing properties are analyzed for the first time. The sensing properties of the triangular ring resonator are found to be useful in realizing biological and chemical sensors, when the TIR mirror with a sharp incident angle increases the evanescent field owing to the Goos-Hanchen shift. For transverse electric polarized light, an extinction ratio of 16 dB is achieved by changing the refractive index of 1 x 10(-5) in the outer region of the TIR mirror block. Then, an extinction ratio of 28 dB and a resonance shift of 160 pm are observed by changing the refractive index of 1 x 10(-5) for transverse magnetic polarization. (C) 2009 The Japan Society of Applied Physics DOI: 10.1143/JJAP.48.072401","Kim, DG; Choi, YW",3,9,JAPANESE JOURNAL OF APPLIED PHYSICS,Triangular Ring Sensor with Long Evanescent Field on the Total Internal Reflection Mirror,2009
"We have investigated the Goos-Hanchen (GH) shifts in frustrated total internal reflection (FTIR) studied with wave-packet propagation. In the first-order approximation of the transmission coefficient, the GH shift is exactly the expression given by a stationary phase method, thus saturating an asymptotic constant in two different ways depending on the angle of incidence. Taking the second-order approximation into account, the GH shift does not saturate with increasing gap width when the small beam size is used. The GH shift increases by decreasing the beamwidth at the small incidence angles, while for the large incidence angles it reveals a strong decrease by decreasing the beamwidth. These phenomena offer the better understanding of the GH shift and tunneling delay time in FTIR.","Chen, X; Li, CF; Wei, RR; Zhang, Y",15,37,PHYSICAL REVIEW A,Goos-Hanchen shifts in frustrated total internal reflection studied with wave-packet propagation,2009
We investigate experimentally the dependence of the Goos-Hanchen shift on the surface properties of an air-metal interface. The shift depends on the microscopic roughness of the metal surface but it is insensitive to the large-scale variations associated with surface non-flatness. Both an effective medium model of roughness and the Rayleigh-Rice theory of scattering are used to interpret the observed phenomenon. (C) 2009 Optical Society of America,"Merano, M; Gotte, JB; Aiello, A; van Exter, MP; Woerdman, JP",7,14,OPTICS EXPRESS,Goos-Hanchen shift for a rough metallic mirror,2009
"The Law of Reflection of a light ray incident upon a mirror (theta(in) = theta(out)) was first formulated by Euclid around 300 BC in his book Catoptrics(1); it has been a tenet of geometrical optics ever since. However, more recently, a small angular deviation of the Law of Reflection has been predicted for a physical light beam when this is regarded as the implementation of a ray(2-5). The deviation is a diffractive consequence of the angular dependence of the reflectivity and should occur for any mirror with less than 100% reflectivity. We report here experimental proof of this angular deviation by determining the direction of an optical beam after reflection from an air glass interface, using a position detector with nanometre resolution. Our results are relevant for angular metrology in general and cantilever-based surface microscopies in particular. Analogous angular deviations are expected for reflection of acoustic waves and quantum matter waves.","Merano, M; Aiello, A; van Exter, MP; Woerdman, JP",105,25,NATURE PHOTONICS,Observing angular deviations in the specular reflection of a light beam,2009
"We study numerically the Goos-Hanchen (GH) shift of a light wave transmitted from one-dimensional photonic crystals containing a uniaxial indefinite medium. It is found that the permittivity and permeability of the indefinite medium strongly affect the properties of the GH shift. The (positive or negative) GH shift is greatly enhanced near the band edge of photonic crystals, the sign of the GH shift in the low- and high-frequency edges of the photonic bandgap can be different. In addition, the properties of the GH shift are also strongly dependent on the incident light frequency, incident angle and the orientation of the optical axis. (C) 2009 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Pan, T; Xu, GD; Zang, TC; Gao, L",9,29,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,Goos-Hanchen shift in one-dimensional photonic crystals containing uniaxial indefinite medium,2009
"The Goos-Hanchen (GH) effect is an interference effect on total internal reflection at an interface, resulting in a shift sigma of the reflected beam along the interface. We show that the GH effect at a p-n interface in graphene depends on the pseudospin (sublattice) degree of freedom of the massless Dirac fermions, and find a sign change of sigma at angle of incidence alpha(*)=arcsin sin alpha(c) determined by the critical angle alpha(c) for total reflection. In an n-doped channel with p-doped boundaries the GH effect doubles the degeneracy of the lowest propagating mode, introducing a twofold degeneracy on top of the usual spin and valley degeneracies. This can be observed as a stepwise increase by 8e(2)/h of the conductance with increasing channel width.","Beenakker, CWJ; Sepkhanov, RA; Akhmerov, AR; Tworzydlo, J",116,15,PHYSICAL REVIEW LETTERS,Quantum Goos-Hanchen Effect in Graphene,2009
"The relation between the angular transverse shifts of the beams reflected and transmitted at a plane interface of two isotropic transparent media is established. The derivation of this relation is based on the conservation law of the transverse component of the total Minkowski linear momentum, which takes place in the processes of the reflection and transmission of wave packets. (C) 2008 Elsevier B.V. All rights reserved.","Fedoseyev, VG",13,30,OPTICS COMMUNICATIONS,Conservation laws and angular transverse shifts of the reflected and transmitted light beams,2009
"We investigate the predicted lateral shift of a normally incident electromagnetic beam upon reflection off an antiferromagnet in an external magnetic field in terms of power flow. In the absence of damping, there is power flow along the interface in the reststrahl regions, even at normal incidence, and this leads directly to a shift similar to the Goos-Hanchen shift normally associated with oblique incidence radiation. In the bulk regions, such a shift is still possible even without this type of power flow. In this case the beam transmitted into the antiferromagnet is displaced in the direction opposite to that of the reflected beam, thus ensuring overall flux continuity.","Lima, F; Dumelow, T; Albuquerque, EL; da Costa, JAP",12,28,PHYSICAL REVIEW B,Power flow associated with the Goos-Hanchen shift of a normally incident electromagnetic beam reflected off an antiferromagnet,2009
"A detailed study on the lateral displacements of a transverse magnetic (TM) wave transmitted and reflected from a symmetric gyrotropic slab is presented. We give the analytic formulas for the transmission coefficient and the reflection coefficient, as well as the corresponding lateral displacements. It is found that due to the external magnetic field the displacement of a transmitted beam is different from that of reflected one, even for a lossless symmetric configuration. Furthermore, within the chosen frequency band, when the incident angle is near the Brewster angle, the shift of a reflected wave can be large with nonzero reflectance, and can be positive or negative depending on the direction of the applied magnetic field and the incident wave.","Huang, H; Fan, Y; Wu, BI; Kong, JA",8,27,APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,Positively and negatively large Goos-Hanchen lateral displacements from a symmetric gyrotropic slab,2009
"Due to the tiny shift in order of optical wavelength for Goos-Hanchen (GH) shift, it is very difficult to directly measure and apply the GH shift. We develop a new method for enhancing GH shift of both TE and TM polarized waves. The method is based on a total reflection prism made of BK9 glass combined with a precise measurement of the resulting spatial displacement with a one-dimensional charge coupled device (CCD). Measurements are performed to examine the validity of the method. Experimental and theoretical results indicate the feasibility of the method with an enhancement in optical wavelenghth shift at millimetre scale. The method is advantageous to application the GH shift in the optical domain, and is also meaningful for measuring even smaller changes in the refractive index of a liquid.","Zhang, ZW; Wen, TD; Zhang, JL",1,21,CHINESE PHYSICS LETTERS,A Novel Method for Enhancing Goos-Hanchen Shift in Total Internal Reflection,2009
"Theoretical investigations of the lateral shifts of the reflected and transmitted beams were performed, using the stationary-phase approach, for the planar interface of a conventional medium and a lossy negative-phase-velocity medium. The lateral shifts exhibit different behaviors beyond and below a certain angle, for both incident p-polarized and incident s-polarized plane waves. Loss in the negative-phase-velocity medium affects lateral shifts greatly, and may cause changes from negative to positive values for p-polarized incidence. (C) 2008 Elsevier B.V. All rights reserved.","You, YA",0,24,PHYSICA B-CONDENSED MATTER,Lossy effects on the lateral shifts in negative-phase-velocity medium,2009
A lateral beam shift is demonstrated both theoretically and in microwave experiments when total internal reflection takes place at the boundary of a self-collimating two-dimensional photonic crystal consisting of an array of high index dielectric cylinders. We further show the dependence of this shift on the cut of the last row of cylinders that defines the crystal interface.,"Garcia-Pomar, JL; Gollub, JN; Mock, JJ; Smith, DR; Nieto-Vesperinas, M",7,19,APPLIED PHYSICS LETTERS,Experimental two-dimensional field mapping of total internal reflection lateral beam shift in a self-collimated photonic crystal,2009
"We study, analytically and numerically, reflection and transmission of an arbitrarily polarized vortex beam on an interface separating two dielectric media and derive general expressions for linear and angular Goos-Hanchen (GH) and Imbert-Fedorov shifts. We predict a novel vortex-induced GH shift and also reveal a direct connection between the spin-induced angular shifts and the vortex-induced linear shifts. (c) 2009 Optical Society of America","Bliokh, KY; Shadrivov, IV; Kivshar, YS",74,23,OPTICS LETTERS,Goos-Hanchen and Imbert-Fedorov shifts of polarized vortex beams,2009
"We develop a new design that the perturbation is the minimum when the crossing occurs at the self-image location in a low-loss multimode waveguide. We use a center-fold low-loss multimode waveguide with a single self image at the center. Such waveguides can cross at 90 degrees or 60 degrees at the center with minimal cross talk. One can reflect the incident mode into an intersecting waveguide by introducing an idea reflecting plane. In practice, the reflector is replaced by a plane for total internal reflection with correction for Goos-Hanchen shift. (C) 2008 Elsevier B.V. All rights reserved.","Chiu, CL; Lay, TS; Chen, YK",2,16,OPTICS COMMUNICATIONS,Low-loss multimode waveguides crossings and turning mirrors,2009
"Optical microcavities are open billiards for light in which electromagnetic waves can, however, be confined by total internal reflection at dielectric boundaries. These resonators enrich the class of model systems in the field of quantum chaos and are an ideal testing ground for the correspondence of ray and wave dynamics that, typically, is taken for granted. Using phase-space methods we show that this assumption has to be corrected towards the long-wavelength limit. Generalizing the concept, of Husimi functions to dielectric interfaces, we find that curved interfaces require a semiclassical correction of Fresael's law due to an interference effect; called Goos-Hanchen shift. It, is accompanied by the so-called Fresnel filtering which, in turn, corrects Snell's law. These two contributions are especially important near the critical angle. They are of similar magnitude and correspond to ray displacements in independent, phase-space directions that can be incorporated in an adjusted reflection law. We show that deviations from ray-wave correspondence can be straightforwardly understood with the resulting adjusted reflection law and discuss its consequences for the phase-space dynamics in optical billiards.","Hentschel, M",3,32,"ADVANCES IN SOLID STATE PHYSICS, VOL 48",Optical Microcavities as Quantum-Chaotic Model Systems: Openness Makes the Difference!,2009
"Nonspecular effect of a microwave beam associated with totalreflection(TR). is investigated by means of establishing ray model and angular spectrum representation. These approachs predicts the existence of not only a well-known Goos-Hanchen shift(GHS) but also a focal shift. The focal shifts are evaluated at a single dielectric interface, and approximate expressions are derived. At last, we conclude some properties as to the focal shift based on numerical analysis.","Qu, M; Huang, ZX; Lu, GZ",0,12,CEEM: 2009 5TH ASIA-PACIFIC CONFERENCE ON ENVIRONMENTAL ELECTROMAGNETICS,Goos-Hanchen and Focal Shift of a Reflected Beam at a Dielectric Interface,2009
"The lateral shift of a light beam at the surface of an anisotropic metamaterial (AMM) slab backed by a metal is investigated. Analytical expressions of the lateral shifts are derived using the stationary-phase method, in the case that total reflection does and does not occur at the first interface. The sign of the lateral shift in two situations is discussed, and the necessary conditions for the lateral shift to be positive or negative are given. It is shown that the thickness and physical parameters of the AMM slab and the incident angle of the light beam strongly affect the properties of the lateral shift. Numerical results validate these conclusions. The lossy effect of the metamaterial on the lateral shift is also investigated.","Cheng, M; Chen, R",4,40,CHINESE PHYSICS LETTERS,Large Positive and Negative Lateral Shifts from an Anisotropic Metamaterial Slab Backed by a Metal,2009
"The Goos-Hanchen (GH) shift is observed from phase transition of the reflected light. However, the reported Artmann's equation is difficult to apply to drastic phase change of the critical and resonance angles because this equation is solved by differential of the phase shift. Therefore, the GH shift can be obtained from the structure optimized by the finite-difference time-domain method. In the surface plasmon resonance (SPR) phenomenon, positive and negative lateral shifts may result from the variation of incidence angle. The GH shift is very important to exactly detect the output power of the micro-size SPR sensor. The accurate positive and negative lateral shifts of -0.49 and +1.46 mu m are obtained on the SPR with the incidence angles of 44.4 degrees and 47 degrees, respectively.","Oh, GY; Kim, DG; Kim, HS; Choi, YW",0,17,"INTEGRATED OPTICS: DEVICES, MATERIALS, AND TECHNOLOGIES XIII",Analysis of surface plasmon resonance with Goos-Hanchen shift using FDTD method,2009
"Optical absorption of infrared radiation under total internal reflection in a novel sensor has been utilized to investigate the soot contamination of diesel engine oil by response surface methodology in factorial experiments. Sensor response showed highly significant dependence on oil soot concentration and temperature, in which the effect of the soot was greatest. The soot contamination of the optical rod in engine oil was found to be a surface phenomenon which showed little or no dependence on bulk oil shearing displacement below 500 rpm. The quadratic effect of sensor response to soot concentration was very high due to the agglomeration of soot particles, derived from the high surface energy of carbon soot. Test results of this optical absorption technique were in conformance with those other oil analysis techniques such as UV spectrophotometry, total acid number, viscosimetry, optical microscopy and EPMA. The technique proved to be more reliable than RDE emission spectrometry which showed ambiguous results due to colloidal suspension of soot particles in oil. Optical absorption proved to be an effective criterion in characterizing the soot contamination of diesel engine oil.","Ossia, CV; Kong, H; Markova, LV; Myshkin, NK",0,19,MEASUREMENT SCIENCE AND TECHNOLOGY,Optical absorption under total internal reflection in the characterization of soot in diesel engine oils,2009
"It is known that for a gyrotropic medium in the Voigt configuration, waves can be decoupled into TE and TM modes. A detailed study on the lateral displacements of an electromagnetic beam reflected and transmitted from a gyrotropic slab in Voigt configuration is presented, for both TM and TE waves. Using the stationary phase approach, analytic expressions for lateral displacements of the reflected and transmitted waves from a symmetric gyrotropic slab axe obtained, and we also give examples for both cases. It is found that the lateral displacements for TM and TE waves have different characteristics. Only the TM mode is affected by the gyrotropy. Due to the external magnetic field, the lateral displacement of a TM wave transmitted from a gyrotropic slab is not the same as the reflected one, even when the configuration is symmetric and the media axe lossless. We also discuss the phenomena when the incident angle is near the Brewster angle.","Huang, H; Fan, Y; Wu, BI; Kong, JA",0,25,"PIERS 2009 BEIJING: PROGESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM, PROCEEDINGS I AND II",Lateral Displacements of an Electromagnetic Beam Transmitted and Reflected from a Gyrotropic Slab,2009
"The Goos-Hanchen (GH) shifts of the reflected waves from nonlinear nanocomposites of interleaved nonspherical metal and dielectric particles are investigated both theoretically and numerically. First, based on spectral representation theory and effective medium approximation, we derive the field-dependent effective permittivity of nonlinear composites. Then, the stationary phase method is adopted to study the GH shifts from nonlinear composites. It is found that for a given volume fraction, there exist two critical polarization factors L-c1 and L-c2, and bistable GH shifts appear only when L Lc1 or L Lc2. Moreover, both giant negative and positive GH shifts accompanied with large reflectivity are found, hence they can be easily observed in experiments. The reversal of the GH shift may be controlled by adjusting both the incident angle and the applied field. Numerical simulations for Gaussian-type incident beam are performed, and good agreement between simulated data and theoretical ones is found especially for large waist width.","Gao, D; Gao, L",8,42,PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER,TUNABLE LATERAL SHIFT THROUGH NONLINEAR COMPOSITES OF NONSPHERICAL PARTICLES,2009
"The Goos-Hachen (GH) shift at the surface of chiral negative refractive media is analyzed theoretically. GH shifts are observed for both perpendicular and parallel components of the reflected field near the respective critical angles. It is found that positive and negative shifts can be attained when the incident angle is larger than the first critical angle, whereas if the angle of incidence exceeds the second critical angle, only positive shifts can be observed. In addition, a Gaussian beam is further adopted to illustrate the effect of the GH shifts.","Dong, WT; Gao, L; Qiu, CW",28,34,PROGRESS IN ELECTROMAGNETICS RESEARCH-PIER,GOOS-HANCHEN SHIFT AT THE SURFACE OF CHIRAL NEGATIVE REFRACTIVE MEDIA,2009
"In this paper, we report a recent design of an optical feedback technique for the setup of Collett-Wolf beam, which is a partially coherent source that can produce a field as directional as a laser. A large Goos-Haenchen shift mirror is studied. The Collett-Wolf beam with Goos-Haenchen effect will further reduce speckle contrast by means of an ensemble average of many feedback beams.","Gu, ZH; Wang, AT",0,32,WAVES IN RANDOM AND COMPLEX MEDIA,Speckle reduction in Collett-Wolf beams,2009
"We have investigated the tunable lateral shift and polarization beam splitting of the transmitted light beam through electro-optic crystals, based on the Pockels effect. The positive and negative lateral shifts could be easily controlled by adjusting the permittivity tensor, which is modulated by the external applied electric field. An alternative way to realize the polarization beam splitter was also proposed by the polarization-dependent lateral shifts. Numerical simulations for Gaussian-shaped incident beam have demonstrated the above theoretical results obtained by stationary phase method. All these phenomena have potential applications in optical devices.","Chen, X; Shen, M; Zhang, ZF; Li, CF",21,41,JOURNAL OF APPLIED PHYSICS,Tunable lateral shift and polarization beam splitting of the transmitted light beam through electro-optic crystals,2008
"The influence of nano-metal films on the Goos-Hanchen shift (GHS) is investigated. The films were deposited at the total reflecting surface of a perspex prism and had a sheet resistance varying between Z(square) = 25 and 3 000 Omega. A resonance-like enhancement of the shift and of the absorption is found for TE polarized waves, when the sheet resistance approached the value of the vacuum impedance. For TM waves the influence. ence of the metal films on the GHS was marginali. The experiments were carried out with microwaves. (C) 2009 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim","Gruschinski, R; Nimtz, G; Stahlhofen, AA",6,13,ANNALEN DER PHYSIK,Resonance-like Goos-Hanchen shift induced by nano-metal films,2008
Reflection of a Gaussian beam by a thin inverse-medium film is considered. The profile of the beam's field transformed upon reflection is analyzed with the use of the representation of the field as a Fourier integral over plane-wave components. It is shown that the complex deformation of the field profile is due to two main factors: the Goos-Hanchen longitudinal shift on the upper medium interface and the shift that is due to the presence of the film/substrate interface and is oriented along the direction of the beam incidence.,"Nasedkina, YF; Sementsov, DI; Mosin, OV",1,16,JOURNAL OF COMMUNICATIONS TECHNOLOGY AND ELECTRONICS,Modification of Gaussian beams reflected by a thin amplifying film,2008
"In this Letter, we investigate giant and negative bistable lateral shifts for a light beam transmitted through a one-dimensional photonic crystal containing a nonlinear metamaterial defect. It is shown that there exists a typical S-shaped curve of the normalized input-output intensity. The hysteresis of lateral shift, resulting from the reshaping effect (constructive and destructive interferences of each plane wave components undergoing different phase shifts) is dependent on the nonlinear defect, the incident intensity and incidence angle. Numerical simulations are also made for the validity of stationary phase approach. All these phenomena lead to potential applications in integrated optics and optical switches. (C) 2008 Elsevier B.V. All rights reserved.","Wei, RR; Chen, X; Tao, JW; Li, CF",14,50,PHYSICS LETTERS A,Giant and negative bistable shifts for one-dimensional photonic crystal containing a nonlinear metamaterial defect,2008
"The lateral shift of a light beam at the surface of an anisotropic metamaterial slab is investigated. Analytical expressions of the lateral shifts are derived using the stationary-phase method, in the case that total reflection does and does not occur at the first interface. The sign of the lateral shift in two situations is discussed, and the necessary conditions for the lateral shift to be positive or negative are given. It is shown that the thickness and physical parameters of the anisotropic metamaterial slab, as well as the incident angle of the light beam, strongly affect the properties of the lateral shift, and numerical results validate these conclusions. The effect of a lossy metamaterial on the lateral shift is also investigated. A restriction on the thickness of the slab is obtained, which is necessary for the stationary-phase method to remain valid.","Cheng, M; Chen, R; Feng, S",8,36,EUROPEAN PHYSICAL JOURNAL D,Lateral shifts of an optical beam in an anisotropic metamaterial slab,2008
"In this paper, the lateral shift effect of a typical guided-mode resonant filter (GMRF) is fully analyzed. Large positive or negative lateral beam displacement can be achieved just by changing the period of the grating layer. This lateral shift phenomenon manifests some considerable virtues when compared with those similar effects that occur in multilayer stack and prism-coupled systems. Finally, a rigorous numerical method is developed to precisely simulate the spatial shift properties of the structure. This simple structure is easy to produce, and is very promising to be a cost-effective, high resolving power dispersive device.","Luo, ZY; Liu, X; Shen, WD; Xue, H; Gu, PF",2,19,JOURNAL OF OPTICS A-PURE AND APPLIED OPTICS,Large positive and negative lateral beam displacement in a guided-mode resonant filter,2008
"The group time delay (GTD) formulae of quasi-total reflection of inhomogeneous P-polarized electromagnetic waves (P-PEW, whose electric field parallels to the plane of incidence), caused by the Goos-Hanchen effect, is derived by the phase shift of the wave. A numerical example where the frequency equals to 1 GHz is given. The curves of calculating results show that there are three discontinuous points at the critical angle of phase shift vector, the critical angle of attenuation vector and 90 degrees. When the angle of incidence is equal to one of these three angles, the GTD will become infinite, and the electromagnetic wave will propagate along the interface. The GTD will be very large, when the angle of incidence is close to one of these three angles. The results indicate that there is an important relationship between the two critical angles and the conductivity and permittivity of the two strata, and that the GTD has an important relationship with the angle of incidence. These results can be used to determine the lithology of the strata and to delimit the interfaces of strata more effectively. It is suggested that this research may prove useful in electromagnetic logging analysis and, perhaps, in the design of logging instruments.","Liu, FP; Li, RZ; Li, JY; Chen, HG; Yang, CC",1,18,MATHEMATICAL GEOSCIENCES,Group time delay in the reflection of P-polarized electromagnetic plane waves at a stratigraphic interface,2008
"We study experimentally the Goos-Hanchen effect observed at the reflection of a self-collimated beam from the surface of a two-dimensional photonic crystal and describe a method for controlling the beam reflection through surface engineering. The microwave photonic crystal, fabricated from alumina rods, allows control of the output position of a reflected beam undergoing an internal Goos-Hanchen shift by changing the rod diameter at the reflection surface. The experimental data are in good agreement with the results of the finite-difference time-domain numerical calculations. (C) 2008 American Institute of Physics.","Matthews, A; Kivshar, Y",8,18,APPLIED PHYSICS LETTERS,Experimental studies of the internal Goos-Hanchen shift for self-collimated beams in two-dimensional microwave photonic crystals,2008
"We report a prediction for the delay measured in an optical tunneling experiment using Hong-Ou-Mandel (HOM) interference, taking into account the Goos-Hanchen shift generalized to frustrated total internal reflection situations. We precisely state assumptions under which the tunneling delay measured by an HOM interferometer can be calculated. We show that, under these assumptions, the measured delay is the group delay, and that it is apparently 'superluminal' for sufficiently thick air gaps. We also show how an HOM signal with multiple minima can be obtained, and that the shape of such a signal is not appreciably affected by the presence of the optical tunneling zone, thus ruling out the explanation of the anomalously short tunneling delays in terms of a reshaping of the wavepacket as it goes through the tunneling zone. Finally, we compare the predicted tunneling delay to a relevant classical delay and conclude that our predictions involve no non-causal effect. (C) 2008 Optical Society of America","Papoular, DJ; Clade, P; Polyakov, SV; McCormick, CF; Migdall, AL; Lett, PD",8,11,OPTICS EXPRESS,Measuring optical tunneling times using a Hong-Ou-Mandel interferometer,2008
"A structure of symmetrical metal-cladding waveguide, which contains optically nonlinear material in the guiding layer, is proposed to control the lateral shift of the reflected beam via an external electric field. Owing to the high sensitivity of ultrahigh-order modes, any minute index change of the waveguide will lead to a dramatic variation of the resonance condition, which gives rise to a change of the lateral beam displacement. Experimental result shows that the electric control of the lateral beam shift is realized in a range of 720 mu m. (c) 2008 American Institute of Physics.","Wang, Y; Cao, ZQ; Li, HG; Hao, J; Yu, TY; Shen, QS",17,22,APPLIED PHYSICS LETTERS,Electric control of spatial beam position based on the Goos-Hanchen effect,2008
"We rigorously prove that when a bounded light beam is incident on an interface, a part of its plane wave components propagate according to the reverse mode of the ordinary reflection and transmission. Based on the two propagation modes, we propose the definition of the generalized reflection and transmission. With this definition, we solve the controversy about the Goos-Hanchen shift approaching the grazing incidence limit, and release the angular expansion method from the precondition which requires that the beam spread angle should not exceed the complement of the incident angle. Then the spectrum superposition effect is investigated for the incidence circumstance whose beam spread angle exceeds the complement of the incident angle.","Yu, H; Jiang, XQ; Yang, JY; Qi, W; Wang, MH",2,26,PHYSICAL REVIEW A,Generalized reflection and transmission of beams,2008
"For the grazing incidence of a narrow beam, a pail of plane wave components can not reach the reflecting interface directly, so they can not be reflected and transmitted in the traditional way. The inverse mode of reflection and transmission is proposed in this paper to describe the interaction between the non-incident plane wave components and the reflection region. Based on the two modes, the plane wave expansion method is utilized to derive exact distribution of the output optical field. Theoretical calculation agrees well with the simulation result which employs the BPM algorithm.","Yu, H; Jiang, XQ; Yang, JY; Qi, W; Wang, MH",2,16,ACTA PHYSICA SINICA,Characteristic of a narrow beam under the grazing reflection condition,2008
"It is theoretically proven that the transmitted Goos-Hanchen (CH) displacement in the symmetry-double prism could be resonantly enhanced when the incident angle is less than but near the critical angle, and is modulated by the slab thickness between two prisms and the incident angle. This enhancement effect is directly observed in microwave experiments in which the incident angle is properly chosen. The measured data are in good agreement with the result of the numerical simulation.","Duan, T; Ge, GK; Li, CF; Jin, PC",0,26,CHINESE PHYSICS LETTERS,Microwave experimental observation of transmitted enhanced Goos-Hanchen displacement in symmetry-double-prism configuration,2008
"We present a solution to the problem of reflection and transmission of a polarized paraxial light beam at an interface between two homogeneous media by using a two-form amplitude and an extension matrix to represent the vectorial angular spectrum of a three-dimensional (31)) light beam. We derive general formulas for the Imbert-Fedorov (IF) shift of the reflected and transmitted beams of a polarized paraxial light beam. The IF shift of two different types of polarized beams is calculated, and the influence of the polarization state and the polarization feature of the vectorial angular spectrum on the IF shift is discussed. (C) 2008 Elsevier B.V. All rights reserved.","Liu, BY; Li, CF",6,23,OPTICS COMMUNICATIONS,The Imbert-Fedorov shift of paraxial light beams,2008
"We derive the polarization-dependent displacements parallel and perpendicular to the plane of incidence for a Gaussian light beam reflected from a planar interface, taking into account the propagation of the beam. Using a classical-optics formalism we show that beam propagation may greatly affect both Goos-Hanchen and Imbert-Fedorov shifts when the incident beam is focused. (C) 2008 Optical Society of America.","Aiello, A; Woerdman, JP",160,16,OPTICS LETTERS,Role of beam propagation in Goos-Hanchen and Imbert-Fedorov shifts,2008
"Recently, an interesting phenomenon of spatial localization of optical modes along periodic ray trajectories near avoided resonance crossings has been observed [Wiersig, Phys. Rev. Lett. 97, 253901 (2006)]. For the case of a microdisk cavity with elliptical cross section, we use the Husimi function to analyze this localization in phase space. Moreover, we present a semiclassical explanation of this phenomenon in terms of the Goos-Hanchen shift, which works very well even deep in the wave regime. This semiclassical correction to the ray dynamics modifies the phase-space structure such that modes can localize either on stable islands or along unstable periodic ray trajectories.","Unterhinninghofen, J; Wiersig, J; Hentschel, M",45,63,PHYSICAL REVIEW E,Goos-Hanchen shift and localization of optical modes in deformed microcavities,2008
"The laser damage on a total internal reflection (TIR) surface as well as on entrance and exit faces was evaluated to design a zig-zag slab laser. Incorporating a phase shift by the Goos-Hiinchen effect on a TIR surface of a laser slab in contact with water, formulas for a laser-induced damage threshold (LIDT) were modified. We determined a method for the designing the geometry of a zig-zag slab laser based on LIDT. A thin film for anti-reflection (AR) with a high LIDT must be formed on the entrance and exit faces of a laser slab glass. A sol-gel thin film was adopted for the AR coating of a high-power laser due to its high LIDT. We devised an effective dip-coating method to form a sol-gel thin film uniformly on a small area. The LIDT of the sol-gel thin film was measured and evaluated with a single mode Q-switch Nd:YAG laser by a one-on-one measurement technique.","Matsumoto, O; Kanabe, T; Yasuhara, R; Kurita, T; Sekine, T; Kawashima, T; Norimatsu, T; Izawa, Y; Nakatsuka, M; Miyamoto, M; Kan, H; Furukawa, H; Motokoshi, S",2,13,JAPANESE JOURNAL OF APPLIED PHYSICS,Analysis and evaluation of laser-induced damage of zig-zag slab laser amplifier,2008
"We propose a waveguide structure in which the tunneling or leakage of guided light results in a type of temporary light trapping. This can be possible by the adoption of a thin clad composed of a negative-refractive-index medium, which, with a conventional dielectric core, produces a backward Goos-Hanchen shift whose amount is critically dependent on the thickness of the clad. At an appropriate clad thickness, the forward propagation of the light in the core can be completely compensated by the backward Goos-Hanchen shift; thus, we can make the net propagation distance of the light exactly zero, i.e., we can trap the light. This trap is temporary since the trapped light tunnels out completely through the thin clad after a short time.","Kim, KY",11,17,JAPANESE JOURNAL OF APPLIED PHYSICS,Tunneling-induced temporary light trapping in negative-index-clad slab waveguide,2008
"The Goos-Hanchen shift at the surface of a uniaxially anisotropic left-handed material film is investigated, for the situation of that there is an arbitrary angle between the optical axis and the interface of the material. The analytical expressions of the Goos-Hanchen shifts are derived, for both cases of that the total reflection occurs and does not occur at the first interface. The sign of the Goos-Hanchen shifts in the two situations is analysed. The results show that the Goos-Hanchen shift of the reflected wave is the same as that of the transmitted one for the case that the total reflection does not occur at the first interface; the Goos-Hanchen shift of the transmitted wave oscillates as the thickness of the film is increased, and its overall tendency is increased; the Goos-Hanchen shift of the transmitted wave realizes its absolute maximum when the transmitted wave resonances, the absolute maximum is almost several 10 times of the wavelength of the incident wave; the Goos-Hanchen shift of the transmitted wave is significantly influenced by the incident angle and the angle between the optical axis and the interface. (c) 2008 Elsevier B.V. All rights reserved.","Wang, ZP; Wang, C; Zhang, ZH",12,13,OPTICS COMMUNICATIONS,Goos-Hanchen shift of the uniaxially anisotropic left-handed material film with an arbitrary angle between the optical axis and the interface,2008
